"address","decimals","lookupName","name","symbol","type","lpToken","vaultToken.address","vaultToken.network","price"
"0x11cDb42B0EB46D95f990BeDD4695A6e3fA034978","18","curve-dao-token","Curve DAO Token","CRV","Contract",NA,NA,NA,2.67
"0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f","8","bitcoin","Wrapped Bitcoin","WBTC","Contract",NA,NA,NA,43537
"0x3221022e37029923aCe4235D812273C5A42C322d","18",NA,"Sushiswap: WETH-SUSHI","SLP-WETH-SUSHI","SushiswapLp","TRUE",NA,NA,367.132138598295
"0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb","18",NA,"Curve.fi: renBTC/wBTC","crvrenWBTC","CurveLP",NA,NA,NA,43637.4237272142
"0x4591890225394BF66044347653e112621AF7DDeb","18",NA,"bCurve.fi Tricrypto","bcrvTricrypto","Vault",NA,"0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2","arbitrum",1553.85013696037
"0x515e252b2b5c22b4b2b6Df66c2eBeeA871AA4d69","18",NA,"Sushiswap: WETH-WBTC","SLP-WETH-WBTC","SushiswapLp","TRUE",NA,NA,2339870360.91519
"0x82aF49447D8a07e3bd95BD0d56f35241523fBab1","18","ethereum","Wrapped Ethereum","WETH","Contract",NA,NA,NA,3080.13
"0x8e0B8c8BB9db49a46697F3a5Bb8A308e744821D2","18",NA,"Curve.fi Tricrypto","crvTricrypto","CurveLP",NA,NA,NA,1550.59864831825
"0xBA418CDdd91111F5c1D1Ac2777Fa8CEa28D71843","18",NA,"bCurve.fi wBTC/renBTC","bcrvrenBTC","Vault",NA,"0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb","arbitrum",43696.9656147438
"0xBfa641051Ba0a0Ad1b0AcF549a89536A0D76472E","18","badger-dao","Badger","BADGER","Contract",NA,NA,NA,17.05
"0xd4d42F0b6DEF4CE0383636770eF773390d85c61A","18","sushi","Sushi","SUSHI","Contract",NA,NA,NA,10.78
"0xDBf31dF14B66535aF65AaC99C32e9eA844e14501","8","renbtc","Ren Protocol BTC","renBTC","Contract",NA,NA,NA,43724
"0xe774D1FB3133b037AA17D39165b8F45f444f632d","18",NA,"bSushiswap: WETH-SUSHI","bSLP-WETH-SUSHI","Vault",NA,"0x3221022e37029923aCe4235D812273C5A42C322d","arbitrum",368.968722521009
"0xFc13209cAfE8fb3bb5fbD929eC9F11a39e8Ac041","18",NA,"bSushiswap: WETH-WBTC","bSLP-WETH-WBTC","Vault",NA,"0x515e252b2b5c22b4b2b6Df66c2eBeeA871AA4d69","arbitrum",2341633379.20609
"0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9","6","tether","Tether","USDT","Contract",NA,NA,NA,1
