"address","decimals","name","symbol","type","lookupName","lpToken","vaultToken.address","vaultToken.network","price"
"0x0316EB71485b0Ab14103307bf65a021042c6d380","18","Huobi BTC","HBTC","Contract","huobi-btc",NA,NA,NA,43580
"0x075b1bb99792c9E1041bA13afEf80C91a1e70fB3","18","Curve.fi renBTC/wBTC/sBTC","crvsBTC","CurveLP",NA,NA,NA,NA,44125.0182816312
"0x110492b31c59716AC47337E616804E3E3AdC0b4a","18","Sushiswap: WBTC-BADGER","SLP-BADGER-WBTC","SushiswapLp",NA,"TRUE",NA,NA,184970608.751989
"0x17d8CBB6Bce8cEE970a4027d1198F6700A7a6c24","18","imBTC","imBTC","Custom",NA,NA,NA,NA,4495.52740932096
"0x1862A18181346EBd9EdAf800804f89190DeF24a5","18","bSushiSwap: WBTC-BADGER","bSLP-BADGER-WBTC","Vault",NA,NA,"0x110492b31c59716AC47337E616804E3E3AdC0b4a","eth",254250346.162938
"0x18d98D452072Ac2EB7b74ce3DB723374360539f1","18","Sushiswap: ibBTC-WBTC","SLP-IBBTC-WBTC","SushiswapLp",NA,"TRUE",NA,NA,8809041780.75011
"0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28","18","bBadger","bBADGER","Vault",NA,NA,"0x3472A5A71965499acd81997a54BBA8D852C6E53d","eth",21.0460509965747
"0x20c36f062a31865bED8a5B1e512D9a1A20AA333A","18","DeFi Dollar","DFD","Contract",NA,NA,NA,NA,0.112698
"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","8","Wrapped Bitcoin","WBTC","Contract",NA,NA,NA,NA,43439
"0x235c9e24D3FB2FAFd58a2E49D454Fdcd2DBf7FF1","18","bUniswap V2: WBTC-BADGER","bBADGER-WBTC","Vault",NA,NA,"0xcD7989894bc033581532D2cd88Da5db0A4b12859","eth",345606889.569183
"0x26B8efa69603537AC8ab55768b6740b67664D518","18","bmhBTC","bmhBTC","Vault",NA,NA,"0x48c59199Da51B7E30Ea200a74Ea07974e62C4bA7","eth",43842.5720206127
"0x27E98fC7d05f54E544d16F58C194C2D7ba71e3B5","18","bCurve.fi USD/BTC/ETH","bcrvTricrypto2","Vault",NA,NA,"0xc4AD29ba4B3c580e6D59105FFf484999997675Ff","eth",1546.47903343595
"0x2B5455aac8d64C14786c3a29858E43b5945819C0","18","bCVXCRV","bCVXCRV","Vault",NA,NA,"0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7","eth",3.08028838331527
"0x2fE94ea3d5d4a175184081439753DE15AeF9d614","18","Curve.fi oBTC","crvoBTC","CurveLP",NA,NA,NA,NA,43733.8343948617
"0x3472A5A71965499acd81997a54BBA8D852C6E53d","18","Badger","BADGER","Contract",NA,NA,NA,NA,17.05
"0x3c9d6c1C73b31c837832c72E04D3152f051fc1A9","18","BoringDAO Token","BOR","Contract",NA,NA,NA,NA,110.85
"0x410e3E86ef427e30B9235497143881f717d93c2A","18","Curve.fi bBTC","crvbBTC","CurveLP",NA,NA,NA,NA,44212.373672211
"0x48c59199Da51B7E30Ea200a74Ea07974e62C4bA7","18","mhBTC","mhBTC","Custom",NA,NA,NA,NA,43842.5720206127
"0x49849C98ae39Fff122806C06791Fa73784FB3675","18","Curve.fi: renBTC/wBTC","crvrenWBTC","CurveLP",NA,NA,NA,NA,44366.9123244352
"0x4b92d19c11435614CD49Af1b589001b7c08cD4D5","8","Yearn WBTC","bvyWBTC","Vault",NA,NA,"0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599","eth",44024.6359102
"0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B","18","Convex Token","CVX","Contract",NA,NA,NA,NA,9.51
"0x5228a22e72ccC52d415EcFd199F99D0665E7733b","18","pTokens BTC","PBTC","Contract","ptokens-btc",NA,NA,NA,43553
"0x53C8E199eb2Cb7c01543C137078a038937a68E40","18","bCVX","bCVX","Vault",NA,NA,"0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B","eth",10.2039901673706
"0x55912D0Cf83B75c492E761932ABc4DB4a5CB1b17","18","bCurve.fi pBTC/wBTC","bcrvpBTC","Vault",NA,NA,"0xDE5331AC4B3630f94853Ff322B66407e0D6331E8","eth",43981.5604548411
"0x58CAc1409F1ffbdcBA6a58d54c94CAC3fb4C6F8B","18","brenBTC","brenBTC","Vault",NA,NA,"0xEB4C2781e4ebA804CE9a9803C67d0893436bB27D","eth",45982
"0x599D92B453C010b1050d31C364f6ee17E819f193","18","bimBTC","bimBTC","Vault",NA,NA,"0x17d8CBB6Bce8cEE970a4027d1198F6700A7a6c24","eth",4495.52740932096
"0x5Dce29e92b1b939F8E8C60DcF15BDE82A85be4a9","18","bCurve.fi bBTC/wBTC","bcrvbBTC","Vault",NA,NA,"0x49849C98ae39Fff122806C06791Fa73784FB3675","eth",44481.8229864602
"0x608b6D82eb121F3e5C0baeeD32d81007B916E83C","18","bzsDigg","bzsDIGG","Vault",NA,NA,"0x798D1bE841a82a273720CE31c822C61a67a601C3","eth",44857.3429690527
"0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7","18","Convex CRV","cvxCRV","Contract",NA,NA,NA,NA,2.68
"0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd","18","Curve.fi tBTC","crvtBTC","CurveLP",NA,NA,NA,NA,44107.5390593498
"0x68c269B60c58c4ed50c63B217BA0EC7f8a371920","18","DIGG Rebase Option 3","DROPT-3","Contract","dropt-3",NA,NA,NA,0
"0x6B175474E89094C44Da98b954EedeAC495271d0F","18","Dai","DAI","Contract",NA,NA,NA,NA,1
"0x6B3595068778DD592e39A122f4f5a5cF09C90fE2","18","Sushi","Sushi","Contract",NA,NA,NA,NA,10.78
