"address","decimals","lookupName","name","symbol","type","lpToken","vaultToken.address","vaultToken.network","price"
"0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a","18","sushi","Sushi","Sushi","Contract",NA,NA,NA,10.78
"0x172370d5Cd63279eFa6d502DAB29171933a610AF","18","curve-dao-token","Curve DAO Token","CRV","Contract",NA,NA,NA,2.67
"0x1a13F4Ca1d028320A707D99520AbFefca3998b7F","6","aave-polygon-usdc","Aave USDC","amUSDC","Contract",NA,NA,NA,0.999371
"0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6","8","wrapped-bitcoin","Wrapped Bitcoin","WBTC","Contract",NA,NA,NA,43439
"0x1FcbE5937B0cc2adf69772D228fA4205aCF4D9b2","18","badger-dao","Badger","BADGER","Contract",NA,NA,NA,17.05
"0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174","6","usd-coin","US Dollar Coin","USDC","Contract",NA,NA,NA,0.999414
"0x27F8D03b3a2196956ED754baDc28D73be8830A6e","18","aave-polygon-dai","Aave DAI","amDAI","Contract",NA,NA,NA,1
"0x28424507fefb6f7f8E9D3860F56504E4e5f5f390","18","aave-polygon-weth","Aave WETH","amWETH","Contract",NA,NA,NA,3107.63
"0x4EaC4c4e9050464067D673102F8E24b2FccEB350","18","interest-bearing-bitcoin","ibBTC","ibBTC","Contract",NA,NA,NA,44198
"0x5c2ed810328349100A66B82b78a1791B101C9D61","8","aave-polygon-wbtc","Aave WBTC","amWBTC","Contract",NA,NA,NA,43824
"0x60D55F02A771d515e077c9C2403a1ef324885CeC","6","aave-polygon-usdt","Aave USDT","amUSDT","Contract",NA,NA,NA,1
"0x6B2d4c4bb50274c5D4986Ff678cC971c0260E967","18",NA,"bQuickswap: USDC-WBTC","bQLP-USDC-WBTC","Vault",NA,"0xF6a637525402643B0654a54bEAd2Cb9A83C8B498","matic",47867013060122.9
"0x7B6bfB88904e4B3A6d239d5Ed8adF557B22C10FC","18",NA,"bCurve.fi amWBTC/renBTC","bcrvrenBTC","Vault",NA,"0xf8a57c1d3b9629b77b6726a042ca48990A84Fb49","matic",43997.5768261756
"0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063","18","dai","Dai","DAI","Contract",NA,NA,NA,1
"0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907","18",NA,"Sushiswap: ibBTC-WBTC","SLP-IBBTC-WBTC","SushiswapLp","TRUE",NA,NA,8825819329.64429
"0xc2132D05D31c914a87C6611C10748AEb04B58e8F","6","tether","Tether","USDT","Contract",NA,NA,NA,1
"0xDBf31dF14B66535aF65AaC99C32e9eA844e14501","8","renbtc","Ren Protocol BTC","renBTC","Contract",NA,NA,NA,43724
"0xE7a24EF0C5e95Ffb0f6684b813A78F2a3AD7D171","18",NA,"Curve.fi amDAI/amUSDC/amUSDT","crvAM3","CurveLP",NA,NA,NA,1.02425073096607
"0xEa8567d84E3e54B32176418B4e0C736b56378961","18",NA,"bSushiSwap: ibBTC-WBTC","bSLP-IBBTC-WBTC","Vault",NA,"0x8F8e95Ff4B4c5E354ccB005c6B0278492D7B5907","matic",8851287219.93516
"0xF6a637525402643B0654a54bEAd2Cb9A83C8B498","18",NA,"Quickswap: USDC-WBTC","QLP-USDC-WBTC","SushiswapLp","TRUE",NA,NA,47672802814061.6
"0xf8a57c1d3b9629b77b6726a042ca48990A84Fb49","18",NA,"Curve.fi amWBTC/renBTC","crvrenBTC","CurveLP",NA,NA,NA,43927.3543712972
